"Week","christmas","amazon","rakhi","diwali","country"
2020-10-11,0,37,0,5,"India"
2020-10-18,0,41,0,6,"India"
2020-10-25,1,32,0,9,"India"
2020-11-01,1,30,0,12,"India"
2020-11-08,1,32,0,83,"India"
2020-11-15,1,27,0,12,"India"
2020-11-22,2,23,0,2,"India"
2020-11-29,3,22,1,2,"India"
2020-12-06,5,22,1,1,"India"
2020-12-13,7,22,1,1,"India"
2020-12-20,41,24,2,1,"India"
2020-12-27,3,21,1,1,"India"
2021-01-03,1,21,1,1,"India"
2021-01-10,1,21,1,1,"India"
2016-01-17,2,23,0,0,"US"
2016-01-24,2,23,0,0,"US"
2016-01-31,1,23,0,0,"US"
2016-02-07,1,22,0,0,"US"
2016-02-14,1,22,0,0,"US"
2016-02-21,1,22,0,0,"US"
2016-02-28,1,22,0,0,"US"
2016-03-06,1,22,0,0,"US"
2016-03-13,1,22,0,0,"US"
2016-03-20,1,22,0,0,"US"
2016-03-27,1,22,0,0,"US"
2016-04-03,1,22,0,0,"US"
2016-04-10,1,22,0,0,"US"
2016-04-17,1,22,0,0,"US"
2016-04-24,1,21,0,0,"US"
2016-05-01,1,21,0,0,"US"
2016-05-08,1,22,0,0,"US"
2016-05-15,1,23,0,0,"US"
2016-05-22,1,22,0,0,"US"
2016-05-29,1,23,0,0,"US"
2016-06-05,1,23,0,0,"US"
2016-06-12,1,22,0,0,"US"
2016-06-19,1,23,0,0,"US"
2016-06-26,1,23,0,0,"US"
2016-07-03,2,24,0,0,"US"
2016-07-10,2,27,0,0,"US"
2016-07-17,2,23,0,0,"US"
2016-07-24,2,24,0,0,"US"
2016-07-31,2,24,0,0,"US"
2016-08-07,2,23,0,0,"US"
2016-08-14,2,25,0,0,"US"
2016-08-21,2,26,0,0,"US"
2016-08-28,2,24,0,0,"US"
2016-09-04,3,23,0,0,"US"
2016-09-11,3,23,0,0,"US"
2016-09-18,3,22,0,0,"US"
2016-09-25,4,22,0,0,"US"
2016-10-02,4,22,0,0,"US"
2016-10-09,5,23,0,0,"US"
2016-10-16,6,24,0,0,"US"
2016-10-23,7,24,0,1,"US"
2016-10-30,12,22,0,1,"US"
2016-11-06,15,23,0,0,"US"
2016-11-13,23,26,0,0,"US"
2016-11-20,33,35,0,0,"US"
2016-11-27,50,37,0,0,"US"
2016-12-04,53,36,0,0,"US"
2016-12-11,53,36,0,0,"US"
2016-12-18,71,35,0,0,"US"
2016-12-25,52,33,0,0,"US"
2017-01-01,7,28,0,0,"US"
2017-01-08,3,27,0,0,"US"
2017-01-15,2,26,0,0,"US"
2017-01-22,2,24,0,0,"US"
2017-01-29,2,25,0,0,"US"
2017-02-05,1,24,0,0,"US"
2017-02-12,1,23,0,0,"US"
2017-02-19,1,25,0,0,"US"
2017-02-26,1,25,0,0,"US"
2017-03-05,1,25,0,0,"US"
2017-03-12,1,25,0,0,"US"
2017-03-19,1,24,0,0,"US"
2017-03-26,1,25,0,0,"US"
2017-04-02,1,24,0,0,"US"
2017-04-09,1,25,0,0,"US"
2017-04-16,1,24,0,0,"US"
2017-04-23,1,26,0,0,"US"
2017-04-30,1,27,0,0,"US"
2017-05-07,1,26,0,0,"US"
2017-05-14,1,26,0,0,"US"
2017-05-21,1,25,0,0,"US"
2017-05-28,1,26,0,0,"US"
2017-06-04,1,26,0,0,"US"
2017-06-11,1,28,0,0,"US"
2017-06-18,1,27,0,0,"US"
2017-06-25,2,27,0,0,"US"
2017-07-02,2,28,0,0,"US"
2017-07-09,2,35,0,0,"US"
2017-07-16,2,28,0,0,"US"
2017-07-23,2,28,0,0,"US"
2017-07-30,2,30,0,0,"US"
2017-08-06,2,29,0,0,"US"
2017-08-13,2,29,0,0,"US"
2017-08-20,2,29,0,0,"US"
2017-08-27,2,29,0,0,"US"
2017-09-03,3,27,0,0,"US"
2017-09-10,3,27,0,0,"US"
2017-09-17,3,28,0,0,"US"
2017-09-24,4,27,0,0,"US"
2017-10-01,4,27,0,0,"US"
2017-10-08,5,28,0,0,"US"
2017-10-15,6,29,0,2,"US"
2017-10-22,8,29,0,0,"US"
2017-10-29,14,28,0,0,"US"
2017-11-05,19,29,0,0,"US"
2017-11-12,24,33,0,0,"US"
2017-11-19,35,40,0,0,"US"
2017-11-26,51,43,0,0,"US"
2017-12-03,55,39,0,0,"US"
2017-12-10,55,40,0,0,"US"
2017-12-17,66,41,0,0,"US"
2017-12-24,67,38,0,0,"US"
2017-12-31,8,33,0,0,"US"
2018-01-07,4,31,0,0,"US"
2018-01-14,2,30,0,0,"US"
2018-01-21,2,29,0,0,"US"
2018-01-28,2,28,0,0,"US"
2018-02-04,2,28,0,0,"US"
2018-02-11,1,27,0,0,"US"
2018-02-18,2,27,0,0,"US"
2018-02-25,1,29,0,0,"US"
2018-03-04,1,29,0,0,"US"
2018-03-11,1,28,0,0,"US"
2018-03-18,1,27,0,0,"US"
2018-03-25,1,28,0,0,"US"
2018-04-01,1,28,0,0,"US"
2018-04-08,1,26,0,0,"US"
2018-04-15,1,26,0,0,"US"
2018-04-22,1,27,0,0,"US"
2018-04-29,1,27,0,0,"US"
2018-05-06,1,27,0,0,"US"
2018-05-13,1,26,0,0,"US"
2018-05-20,1,27,0,0,"US"
2018-05-27,1,26,0,0,"US"
2018-06-03,1,28,0,0,"US"
2018-06-10,1,28,0,0,"US"
2018-06-17,1,27,0,0,"US"
2018-06-24,1,28,0,0,"US"
2018-07-01,2,28,0,0,"US"
2018-07-08,2,30,0,0,"US"
2018-07-15,2,41,0,0,"US"
2018-07-22,2,29,0,0,"US"
2018-07-29,2,30,0,0,"US"
2018-08-05,2,30,0,0,"US"
2018-08-12,2,30,0,0,"US"
2018-08-19,2,29,0,0,"US"
2018-08-26,2,29,0,0,"US"
2018-09-02,3,29,0,0,"US"
2018-09-09,3,27,0,0,"US"
2018-09-16,3,28,0,0,"US"
2018-09-23,4,26,0,0,"US"
2018-09-30,5,29,0,0,"US"
2018-10-07,5,28,0,0,"US"
2018-10-14,6,28,0,0,"US"
2018-10-21,8,27,0,0,"US"
2018-10-28,13,27,0,1,"US"
2018-11-04,18,29,0,2,"US"
2018-11-11,25,32,0,0,"US"
2018-11-18,35,39,0,0,"US"
2018-11-25,51,40,0,0,"US"
2018-12-02,57,39,0,0,"US"
2018-12-09,54,39,0,0,"US"
2018-12-16,63,41,0,0,"US"
2018-12-23,84,37,0,0,"US"
2018-12-30,9,31,0,0,"US"
2019-01-06,4,30,0,0,"US"
2019-01-13,2,28,0,0,"US"
2019-01-20,2,28,0,0,"US"
2019-01-27,2,27,0,0,"US"
2019-02-03,2,27,0,0,"US"
2019-02-10,1,28,0,0,"US"
2019-02-17,1,28,0,0,"US"
2019-02-24,1,28,0,0,"US"
2019-03-03,1,29,0,0,"US"
2019-03-10,1,27,0,0,"US"
2019-03-17,1,28,0,0,"US"
2019-03-24,1,28,0,0,"US"
2019-03-31,1,28,0,0,"US"
2019-04-07,1,27,0,0,"US"
2019-04-14,1,28,0,0,"US"
2019-04-21,1,27,0,0,"US"
2019-04-28,1,28,0,0,"US"
2019-05-05,1,29,0,0,"US"
2019-05-12,1,30,0,0,"US"
2019-05-19,1,29,0,0,"US"
2019-05-26,1,30,0,0,"US"
2019-06-02,1,32,0,0,"US"
2019-06-09,1,32,0,0,"US"
2019-06-16,2,31,0,0,"US"
2019-06-23,2,31,0,0,"US"
2019-06-30,2,30,0,0,"US"
2019-07-07,2,32,0,0,"US"
2019-07-14,2,42,0,0,"US"
2019-07-21,2,31,0,0,"US"
2019-07-28,2,31,0,0,"US"
2019-08-04,2,31,0,0,"US"
2019-08-11,2,32,0,0,"US"
2019-08-18,2,38,0,0,"US"
2019-08-25,2,33,0,0,"US"
2019-09-01,3,30,0,0,"US"
2019-09-08,3,30,0,0,"US"
2019-09-15,4,31,0,0,"US"
2019-09-22,4,29,0,0,"US"
